"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.0468"," 0.00105","[ 0.045 , 0.049 ]","      816,370","     18,504","[ 780,102 , 852,638 ]"
"Participated for illspouse leave","  0.0015"," 0.00018","[ 0.0012 , 0.0019 ]","       26,600","      3,166","[ 20,395 , 32,805 ]"
"Participated for illchild leave","  0.0051"," 0.00028","[ 0.0045 , 0.0056 ]","       88,820","      5,005","[ 79,011 , 98,629 ]"
"Participated for illparent leave","  0.0046"," 0.00030","[ 0.004 , 0.0052 ]","       79,860","      5,234","[ 69,601 , 90,119 ]"
"Participated for matdis leave","  0.0198"," 0.00047","[ 0.019 , 0.021 ]","      345,350","      8,309","[ 329,064 , 361,636 ]"
"Participated for bond leave","  0.0049"," 0.00030","[ 0.0043 , 0.0055 ]","       84,970","      5,187","[ 74,803 , 95,137 ]"
"Participated for  for own illness or maternal disability leave","  0.0629"," 0.00101","[ 0.061 , 0.065 ]","    1,096,880","     17,982","[ 1,061,635 , 1,132,125 ]"
"Participated for ill relative or child bonding leave","  0.0153"," 0.00052","[ 0.014 , 0.016 ]","      266,410","      9,258","[ 248,264 , 284,556 ]"
"Participated for any reason","  0.0722"," 0.00109","[ 0.07 , 0.074 ]","    1,260,110","     19,721","[ 1,221,457 , 1,298,763 ]"
"Benefits Received ($), for own illness or maternal disability leave","329.7408"," 9.88902","[ 310 , 349 ]","5,752,652,028","171,208,188","[ 5,417,083,981 , 6,088,220,076 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 27.8745"," 1.16422","[ 26 , 30 ]","  486,297,383"," 20,521,600","[ 446,075,048 , 526,519,719 ]"
"Benefits Received ($), total","357.6153","10.37394","[ 337 , 378 ]","6,238,949,412","179,934,448","[ 5,886,277,893 , 6,591,620,931 ]"
