"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.0020110","0.0001101","[ 0.0018 , 0.0022 ]","     8,607","      469","[ 7,687 , 9,527 ]"
"Participated for illspouse leave"," 0.0000000","0.0000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for illchild leave"," 0.0001381","0.0000274","[ 0.000084 , 0.00019 ]","       591","      117","[ 361 , 821 ]"
"Participated for illparent leave"," 0.0000035","0.0000036","[ -0.0000036 , 0.000011 ]","        15","       16","[ -15 , 45 ]"
"Participated for matdis leave"," 0.0010145","0.0000922","[ 0.00083 , 0.0012 ]","     4,342","      395","[ 3,568 , 5,116 ]"
"Participated for bond leave"," 0.0002804","0.0000470","[ 0.00019 , 0.00037 ]","     1,200","      201","[ 806 , 1,594 ]"
"Participated for  for own illness or maternal disability leave"," 0.0030255","0.0001306","[ 0.0028 , 0.0033 ]","    12,949","      558","[ 11,856 , 14,042 ]"
"Participated for ill relative or child bonding leave"," 0.0004220","0.0000494","[ 0.00033 , 0.00052 ]","     1,806","      212","[ 1,391 , 2,221 ]"
"Participated for any reason"," 0.0040074","0.0001656","[ 0.0037 , 0.0043 ]","    14,476","      599","[ 13,301 , 15,651 ]"
"Benefits Received ($), for own illness or maternal disability leave"," 9.6260829","0.7077718","[ 8.2 , 11 ]","41,199,115","3,033,415","[ 35,253,623 , 47,144,608 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 0.6800043","0.0961615","[ 0.49 , 0.87 ]"," 2,910,382","  411,741","[ 2,103,370 , 3,717,394 ]"
"Benefits Received ($), total","12.2107315","0.8451774","[ 11 , 14 ]","44,109,497","3,050,028","[ 38,131,442 , 50,087,552 ]"
