"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.01813"," 0.00114","[ 0.016 , 0.02 ]","      9,332","      585","[ 8,185 , 10,479 ]"
"Participated for illspouse leave","  0.01033"," 0.00073","[ 0.0089 , 0.012 ]","      5,314","      372","[ 4,585 , 6,043 ]"
"Participated for illchild leave","  0.00106"," 0.00030","[ 0.00048 , 0.0017 ]","        548","      153","[ 247 , 849 ]"
"Participated for illparent leave","  0.01124"," 0.00096","[ 0.0094 , 0.013 ]","      5,787","      496","[ 4,816 , 6,758 ]"
"Participated for matdis leave","  0.01088"," 0.00086","[ 0.0092 , 0.013 ]","      5,600","      446","[ 4,726 , 6,474 ]"
"Participated for bond leave","  0.00079"," 0.00018","[ 0.00044 , 0.0011 ]","        408","       93","[ 226 , 590 ]"
"Participated for  for own illness or maternal disability leave","  0.02901"," 0.00145","[ 0.026 , 0.032 ]","     14,932","      748","[ 13,466 , 16,398 ]"
"Participated for ill relative or child bonding leave","  0.02328"," 0.00117","[ 0.021 , 0.026 ]","     11,979","      597","[ 10,810 , 13,148 ]"
"Participated for any reason","  0.05112"," 0.00185","[ 0.047 , 0.055 ]","     26,310","      946","[ 24,457 , 28,163 ]"
"Benefits Received ($), for own illness or maternal disability leave","181.75446","12.03114","[ 158 , 205 ]"," 93,537,205","6,150,691","[ 81,481,851 , 105,592,559 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 38.87353"," 1.99022","[ 35 , 43 ]"," 20,005,679","1,009,988","[ 18,026,103 , 21,985,256 ]"
"Benefits Received ($), total","220.62799","12.32703","[ 196 , 245 ]","113,542,884","6,280,684","[ 101,232,743 , 125,853,025 ]"
